poftéște poftește
Albu Alb
dom­nului domnului
Romanu Roman
Lăpușneanu Lăpușnean
Cavații Cavați
așteptatu așteptat
îndrăs­nind îndrăsnind
obiceiu­rile obiceiurile
teméinică temeinică
Tamerlanu Tamerlan
în­științeze înștințeze
chiiamă chiamă
săvâr­șindu săvârșind
semețéște semețește
spartu spart
Domnindu Domnind
Déciia Decia
ne­vrâsta nevrâsta
besérecii besereci
Moamethu Moameth
Létopisețul Letopisețul
neodi­huirilor neodihuirilor
însemnéze însemneze
Ar­himandriți Arhimandriți
némților nemților
stă­pânești stăpânești
îndes­tulare îndestulare
întâmplăn­du întâmplănd
răscol­nice răscolnice
împă­rătesc împărătesc
zvoréște zvorește
Mediiași Mediași
sămnŭ sămn
dzicând zicând
obiș­nuește obișnuește
dachii dachi
tot­deauna totdeauna
Jijiia Jijia
fétile fetile
dinlontru dinlontr
apropiiat apropiat
tăbărâtu tăbărât
legă­turile legăturile
să­geți săgeți
Trații Trați
Câmpulungenii Câmpulungeni
Piericopu Piericop
vrăjmașu vrăjmaș
Prusiia Prusia
țénchiul țenchiul
podolénii podoleni
avuțiia avuția
ra­zemă razemă
Așezândŭ Așezând
Împă­ratul Împăratul
Tuncischii Tuncischi
agonisin­du agonisind
lesescu lesesc
țiitoriiul țitoriiul
adésea adesea
Crâmu Crâm
târgŭ târg
vorovéște vorovește
Diva­nuri Divanuri
vistiiernicul vistiernicul
norocéște norocește
fél fel
scosése scosese
némérnicu nemernic
Isaiia Isaia
céste ceste
so­sind sosind
ceriia ceria
mucenicu mucenic
Albrehtu Albreht
stra­șinile strașinile
Mazoviia Mazovia
născutu născut
Iconiia Iconia
prădândŭ prădând
volniciia volnicia
pe­depse pedepse
Vor­nicul Vornicul
alergatu alergat
asémenea asemenea
Împără­tească Împărătească
fă­când făcând
obicéele obiceele
piierde pierde
Varticu Vartic
Tăta­rilor Tătarilor
Drago­șeștilor Dragoșeștilor
aședzându așezând
fiește­carele fieștecarele
Dra­goșesc Dragoșesc
lătinescŭ lătinesc
Smilii Smili
Moraviia Moravia
făcatu făcat
polații polați
vicleniia viclenia
ďèńŕíiŕ ďeńŕíiŕ
lipsescu lipsesc
pustiiește pustiește
priieten prieten
rândŭ rând
Îm­părătești Împărătești
nesăvârșindu nesăvârșind
gre­cească grecească
bolgarii bolgari
închizândŭ închizând
Galațiia Galația
obi­ceiul obiceiul
răs­plătească răsplătească
Apuliia Apulia
dregă­torie dregătorie
cu­noscuți cunoscuți
Moscŭ Mosc
Baiazitu Baiazit
odi­nioară odinioară
vestitŭ vestit
portŭ port
tumănii tumăni
deșărtu deșărt
îngropatu îngropat
săgetatu săgetat
împingăndu împingănd
Hanu Han
raru rar
Cândŭ Când
domniia domnia
ciilalți cilalți
pe­depsește pedepsește
Bobolețschii Bobolețschi
domniie domnie
Târgșoru Târgșor
învăliia învălia
Sucevii Sucevi
închinatŭ închinat
Demarcapu Demarcap
hrănéște hrănește
Sucévii Sucevi
portogalii portogali
frâncéște frâncește
mo­nahicești monahicești
Sohodolschii Sohodolschi
dreptŭ drept
izbânditu izbândit
Împă­rătești Împărătești
Eu­stație Eustație
fățăriie fățărie
izbăvitu izbăvit
îngro­pare îngropare
Oituzu Oituz
Dachii Dachi
trăéscŭ trăesc
dovenescu dovenesc
Domniia Domnia
ieșiia ieșia
Avstriia Avstria
îndelungatu îndelungat
întradâncu întradânc
rân­duială rânduială
în­tr într
Traianŭ Traian
huléște hulește
pof­tindu poftind
diprinsése diprinsese
agonisescu agonisesc
Mol­dovinești Moldovinești
săimu săim
strângiia strângia
rătundŭ rătund
trăiia trăia
din­tr dintr
închi­puire închipuire
Hinceștii Hincești
aședzate așezate
testa­mentul testamentul
vinovățindu vinovățind
domnescŭ domnesc
Cai­macami Caimacami
vis­teriei visteriei
Sul­tanului Sultanului
gătéască gătească
putém putem
volnicu volnic
némți nemți
priietin prietin
pri­sos prisos
Dispotu Dispot
Ochiianul Ochianul
auzitŭ auzit
avérea averea
Iaroslavu Iaroslav
Dumnedzău Dumnezău
Gabriil Gabril
zécile zecile
urmatu urmat
trimisése trimisese
leagănu leagăn
ne­guțătoria neguțătoria
Evan­gheliei Evangheliei
grijăscu grijăsc
vacŭ vac
Odriiu Odriu
chizmitu chizmit
Rabâii Rabâi
totŭ tot
dzicŭ zic
Vi­ziri Viziri
înșelatu înșelat
dése dese
tocmélele tocmelele
Portii Porti
lip­siți lipsiți
Mongu Mong
Colomiia Colomia
Sucévei Sucevei
preuții preuți
adu­nare adunare
derége derege
să­rutându sărutând
Schiudériul Schiuderiul
mărturiséște mărturisește
vrémea vremea
pre­lungită prelungită
năra­vurile năravurile
ale­gorii alegori
Chiliia Chilia
léato leato
răz­boiu războiu
Boazŭ Boaz
solații solați
cățélii cățeli
soru sor
înțe­lepciunea înțelepciunea
sosiia sosia
năvă­lirile năvălirile
popoa­rele popoarele
aflăndu aflănd
pro­hodul prohodul
Des­pot Despot
trânșii trânși
Vechiŭ Vechiu
tristu trist
poreclitu poreclit
pu­nerea punerea
Moldo­venească Moldovenească
Huminschii Huminschi
lăuntru lăuntr
gătiia gătia
înecatu înecat
soséște sosește
împăratŭ împărat
creștinéști creștinești
dân­sul dânsul
lepădândŭ lepădând
cucérnic cucernic
ajutoritu ajutorit
fugitu fugit
timpinatu timpinat
prădatu prădat
Evdochiia Evdochia
Covațiiocie Covațiocie
măcarŭ măcar
Crédem Credem
creștinéște creștinește
chipu chip
Cirimișu Cirimiș
soliia solia
primenéle primenele
cevluiescu cevluiesc
amă­gitoare amăgitoare
Matéiașu Mateiaș
isto­ricii istorici
dzile zile
grecescu grecesc
poftoritu poftorit
sin­gură singură
Cretcovschii Cretcovschi
Nazari­nesc Nazarinesc
ce­rească cerească
păziia păzia
zdro­bească zdrobească
priimi primi
inicéri iniceri
Vizi­rul Vizirul
boeri­lor boerilor
ficioru ficior
ce­loralalți celoralalți
gonitu gonit
repezitu repezit
nădéjdea nădejdea
léși leși
șerbiie șerbie
ho­tărîtă hotărîtă
dreptu drept
Albaniții Albaniți
Brânco­veanu Brâncovean
priimiți primiți
dom­nești domnești
giosénii gioseni
Înțelége Înțelege
supusése supusese
împăratu împărat
pribégi pribegi
neputându neputând
acéiași aceiași
poménitu pomenit
mingrelii mingreli
Schiții Schiți
biséricilor bisericilor
Tălăbeștii Tălăbești
Orbu Orb
cuvântŭ cuvânt
lu­creze lucreze
nemțescu nemțesc
Oto­mană Otomană
țăra­nul țăranul
sécită secită
Liflantŭ Liflant
rîvnindŭ rîvnind
Vârlăneștii Vârlănești
tinzii tinzi
înéce înece
prorociia prorocia
mirŭ mir
ospéțe ospețe
robiia robia
Lănțeștii Lănțești
dzicea zicea
Ciucŭ Ciuc
dzimbrul zimbrul
Mariia Maria
fostu fost
iubescu iubesc
nedéjdea nedejdea
dintrŭ dintr
căutatu căutat
Troadii Troadi
ia­răși iarăși
schimbatu schimbat
patrio­ților patrioților
ungurescu unguresc
franțozii franțozi
răsipiia răsipia
priietinul prietinul
diiac diac
ze­ciuială zeciuială
dzicem zicem
hro­nicile hronicile
Aronu Aron
Créțul Crețul
Iliașu Iliaș
paharniceii paharnicei
urmă­toriu următoriu
heretisindu heretisind
zăbréle zăbrele
omenescŭ omenesc
osârdiia osârdia
Îm­părăteștei Împărăteștei
întrînșii întrînși
mitropoliia mitropolia
rugă­mintea rugămintea
Historiile Historile
stăpâniia stăpânia
décii deci
viclenitu viclenit
cre­dincioase credincioase
ale­gerea alegerea
Mitro­polit Mitropolit
Înaltŭ Înalt
făgăduitu făgăduit
Ciau­șilor Ciaușilor
scrisése scrisese
bătiia bătia
réle rele
împe­dică împedică
vécinicul vecinicul
împreunatu împreunat
făcè făce
pomăzuitu pomăzuit
multŭ mult
direptății direptăți
féliurile feliurile
Adriian Adrian
néștene neștene
dzice zice
obicéi obicei
săpatŭ săpat
mân­care mâncare
Moldove­nii Moldoveni
vredni­cule vrednicule
féliuri feliuri
Stăvăreștii Stăvărești
surpatu surpat
Tăutuleștii Tăutulești
nemeritŭ nemerit
totu tot
mire­sei miresei
ba­nilor banilor
bi­rul birul
Pomenéște Pomenește
ho­tărî hotărî
Dumnădzău Dumnăzău
ze­ciuiala zeciuiala
plângŭ plâng
vrémi vremi
féliu feliu
picatu picat
curândŭ curând
Genuesii Genuesi
vréme vreme
Gavrilițeștii Gavrilițești
bugegéni bugegeni
Capi­gilar Capigilar
ră­mâne rămâne
pă­zești păzești
Tudureștii Tudurești
he­retisit heretisit
giudéțe giudețe
ieșitu ieșit
Tăncenschii Tăncenschi
intratŭ intrat
ce­tatea cetatea
mutatŭ mutat
sârgŭ sârg
cneadzia cneazia
Alixandru Alixandr
Tur­cilor Turcilor
Alexandriia Alexandria
Caima­cami Caimacami
înnéce înnece
ju­decata judecata
făgă­duesc făgăduesc
Îm­părăteștii Împărătești
tovaroșii tovaroși
ugrii ugri
surgunŭ surgun
spieriia spieria
păriia păria
stăpâ­nirile stăpânirile
neplecându neplecând
aguitoriŭ aguitoriu
ghenuvezii ghenuvezi
barba­rilor barbarilor
aminosindu aminosind
Pașcovschii Pașcovschi
cortu cort
ur­mează urmează
putérnici puternici
deciia decia
răsipitu răsipit
vorovitu vorovit
diiaconi diaconi
putérnicu puternic
Ța­rigrad Țarigrad
moșnéni moșneni
Roseteștii Rosetești
Cârlegăturii Cârlegături
scrip­turi scripturi
întunérice întunerice
Movileștii Movilești
Prăjeștii Prăjești
vitéji viteji
răsăpindu răsăpind
Vasluenii Vaslueni
ferecându ferecând
Cantacuzenii Cantacuzeni
franțojii franțoji
slobo­zesc slobozesc
Léșii Leși
Răspundzŭ Răspunz
vatavii vatavi
Dragoșu Dragoș
orânduiescu orânduiesc
dispărțitu dispărțit
sorocénii soroceni
dobân­dit dobândit
obi­ceiurile obiceiurile
cestilalții cestilalți
Ro­mânești Românești
dobânditu dobândit
sârguitu sârguit
Hăzareștii Hăzarești
hișpanii hișpani
céialaltă ceialaltă
întăiŭ întăiu
râniia rânia
înțelégem înțelegem
lo­cuitorii locuitori
niguțătoréște niguțătorește
priitenească pritenească
dzicé zice
Carintiia Carintia
Araviia Aravia
sinéțe sinețe
vistérnic visternic
Talpeștii Talpești
nemțescŭ nemțesc
norocu noroc
rude­niilor rudenilor
poménitŭ pomenit
sositu sosit
véchie vechie
alianții alianți
létopisețu letopiseț
priv­dorul privdorul
tur­cești turcești
ianovedzi ianovezi
gonitŭ gonit
părăsitu părăsit
Solonețu Soloneț
létopisețe letopisețe
meșteșugu­rilor meșteșugurilor
nŭoi nuoi
vi­novat vinovat
dzac zac
că­ruia căruia
răcitu răcit
mușcatinu mușcatin
ca­petele capetele
Marchiianopolis Marchianopolis
Stega­rului Stegarului
Zborovschii Zborovschi
acéstea acestea
ungurescŭ unguresc
Céle Cele
făcân­du făcând
bătutu bătut
schimbatŭ schimbat
decâtŭ decât
fostŭ fost
hotă­rând hotărând
oste­neală osteneală
Brașovu Brașov
dintru dintr
Acii Aci
Locui­torii Locuitori
Mi­tropolitul Mitropolitul
ianovedzii ianovezi
Priiam Priam
aceștiia aceștia
priimască primască
Barnovschii Barnovschi
giuruindu giuruind
dăruiescu dăruiesc
căutatŭ căutat
nemeritu nemerit
întorsése întorsese
Bârseii Bârsei
Cataiia Cataia
ereticiia ereticia
ciudése ciudese
lă­săm lăsăm
arginterii arginteri
pociŭ pociu
Capigii Capigi
Tefterda­rului Tefterdarului
Zorileștii Zorilești
cu­vânt cuvânt
Pisatcenschii Pisatcenschi
statu stat
Niculeștii Niculești
Dumini­cele Duminicele
fărădelége fărădelege
putérnică puternică
pravoslaviia pravoslavia
împărțitu împărțit
Laconiia Laconia
povéste poveste
sfârșitŭ sfârșit
acélŭ acel
împodobindŭ împodobind
Dațiia Dația
pusése pusese
nefăcându nefăcând
cârmuitŭ cârmuit
bistricénii bistriceni
citescŭ citesc
le­gea legea
a­mândoi amândoi
dindărătu dindărăt
îmbrăcatu îmbrăcat
Tecinschii Tecinschi
Bielschii Bielschi
răspunsŭ răspuns
mergŭ merg
Caspiia Caspia
Decii Deci
Tiganii Tigani
Herbortu Herbort
arcu arc
sate­lor satelor
tulbu­rărilor tulburărilor
îndireptéze îndirepteze
războiŭ războiu
tălhărescu tălhăresc
Răutu Răut
masaghetii masagheti
suntŭ sunt
stăpânu stăpân
stăpâ­niri stăpâniri
ieșitŭ ieșit
biséricii biserici
pedestrașŭ pedestraș
pléce plece
adunân­du adunând
Evbeiia Evbeia
pomenindŭ pomenind
leșescŭ leșesc
Asiia Asia
ne­măsurată nemăsurată
curténii curteni
dă­ruit dăruit
tribuiéște tribuiește
rugatu rugat
în­dărăpt îndărăpt
dzimbru zimbr
piiae piae
argintu argint
împăcatu împăcat
sârgu sârg
némții nemți
alése alese
Șchiiopul Șchiopul
Carpații Carpați
Moldove­nilor Moldovenilor
căzăcescŭ căzăcesc
semnŭ semn
notceagoșu notceagoș
acést acest
creș­terea creșterea
cum­plite cumplite
perdu perd
vi­novățit vinovățit
vrédnic vrednic
rodéște rodește
să­nătoase sănătoase
venitŭ venit
Bogdanu Bogdan
sculatu sculat
cismarii cismari
împo­trivă împotrivă
péște pește
Moldove­nească Moldovenească
spin­ticând spinticând
orbu orb
priiteșug priteșug
urméze urmeze
neviindu nevind
decâtu decât
zmintéște zmintește
belghii belghi
muntenescŭ muntenesc
ace­leași aceleași
eparhiia eparhia
cândŭ când
răsăritu răsărit
iernatu iernat
Ciaușii Ciauși
mă­năstirii mănăstiri
adu­nându adunând
încoi­fați încoifați
pămân­tului pământului
Hasne­ Hasne
celebii celebi
­Aga Aga
ajutoriia ajutoria
vânatu vânat
Can­diea Candiea
deșertŭ deșert
Panevschii Panevschi
Tă­tarilor Tătarilor
bisérica biserica
frântu frânt
dzic zic
Albertu Albert
nimé nime
bisérici biserici
ru­găciunile rugăciunile
cunoștiia cunoștia
Țari­grad Țarigrad
grijiia grijia
dzis zis
sloboziia slobozia
curugii curugi
adăogiia adăogia
Mol­dova Moldova
șea­selea șeaselea
moldovénilorŭ moldovenilor
asu­prit asuprit
Stărceștii Stărcești
podoléni podoleni
pri­mește primește
nepriieteni neprieteni
bu­cată bucată
în­lăuntru înlăuntr
Capigi­bașa Capigibașa
iu­bind iubind
mersu mers
flămânziciunii flămânziciuni
Anténor Antenor
zéce zece
Tătă­rească Tătărească
poménim pomenim
ță­ranii țărani
nesta­tornic nestatornic
feliŭ feliu
Moldo­venești Moldovenești
machidonénii machidoneni
dirésile diresile
poménit pomenit
adinsu adins
vitejiia vitejia
înșe­lați înșelați
alesése alesese
folositu folosit
stăpâ­nitorii stăpânitori
Rădicatu Rădicat
ardéleni ardeleni
sârbu sârb
svetii sveti
înmulțitu înmulțit
Chighéciu Chigheciu
dobânditŭ dobândit
împăr­țit împărțit
iubéște iubește
Bul­gari Bulgari
turnŭ turn
Bogdăneștii Bogdănești
Lucrețiia Lucreția
grecescŭ grecesc
Pa­triei Patriei
căzacii căzaci
Schimne­ Schimne
Câmpu Câmp
rezeșii rezeși
pricépem pricepem
grijitu grijit
pătrunsu pătruns
acéle acele
Dumne­zeiasca Dumnezeiasca
șăzutu șăzut
Chiulahlii Chiulahli
țiitoriu țitoriu
Vizirii Viziri
împinsu împins
acéstu acest
chel­tuea cheltuea
umpléa umplea
tălhărescŭ tălhăresc
lovéște lovește
polcu polc
robitu robit
priimit primit
priveghiia priveghia
spahiioglani spahioglani
nemaiputându nemaiputând
priimim primim
hri­soavele hrisoavele
mergu merg
răspunsu răspuns
râmléni râmleni
împărățitŭ împărățit
feritu ferit
pomenéște pomenește
su­pușilor supușilor
Tartariia Tartaria
gru­majii grumaji
Ște­fan Ștefan
prinsése prinsese
poftescu poftesc
arătămu arătăm
denlăuntru denlăuntr
Chiefè Chiefe
Etoliia Etolia
pustiitŭ pustit
Murguleștii Murgulești
chesariŭ chesariu
răsipescu răsipesc
zălojăscu zălojăsc
Întorcându Întorcând
dândŭ dând
slujitu slujit
Iașii Iași
Raco­vitză Racovitză
înșii înși
avutu avut
mergiia mergia
vrăj­mași vrăjmași
Istoriia Istoria
pome­nește pomenește
céștealalții ceștealalți
obiiele obiele
rostŭ rost
pustiitate pustitate
intrebându intrebând
tineréțile tinerețile
venitu venit
treisprăzéce treisprăzece
tocmitu tocmit
câtŭ cât
Iașiloru Iașilor
sculatŭ sculat
Suntŭ Sunt
fârșitŭ fârșit
acésta acesta
slovații slovați
trei­lea treilea
acéla acela
Sinenschii Sinenschi
acéste aceste
munténii munteni
oprescu opresc
cunoscândŭ cunoscând
italiianilor italianilor
năvăliia năvălia
Pontŭ Pont
cruțindu cruțind
întâl­nesc întâlnesc
scotu scot
încépe începe
adevăratu adevărat
Erimiia Erimia
um­plut umplut
neînsemnatu neînsemnat
acéia aceia
articulii articuli
odihniia odihnia
sem­nele semnele
troadénii troadeni
Împără­tesc Împărătesc
muntenescu muntenesc
céiași ceiași
pri­cină pricină
po­runcindu poruncind
pohodnicii pohodnici
Suleimanu Suleiman
sin­gura singura
amiadzădzi amiazădzi
oșteniia oștenia
Cutlu Cutl
besérică beserică
tribuieșté tribuiește
astădzi astăzi
crăiescu crăiesc
târdziu târziu
italiienilor italienilor
Viiața Viața
Clucereștii Clucerești
negândindu negândind
mi­resei miresei
cunoștiița cunoștița
îndzăstrat înzăstrat
lémne lemne
munténilorŭ muntenilor
dătunatu dătunat
gâlce­vitoare gâlcevitoare
ple­cat plecat
satu sat
dusu dus
ade­vărată adevărată
Fleacŭ Fleac
strigatu strigat
că­mărași cămărași
prisoséște prisosește
săcuii săcui
orezu orez
povodnicii povodnici
Crasițschii Crasițschi
mărturiia mărturia
Darieștii Dariești
Nipru Nipr
triilea trilea
pustiisă pustisă
Îndemnatu Îndemnat
megiiași megiași
Lăpușnéanul Lăpușneanul
fe­răriei ferăriei
hranii hrani
Barbarezii Barbarezi
viniia vinia
dăruitu dăruit
unghiŭ unghiu
Dumne­zeu Dumnezeu
capigii capigi
ținiia ținia
Împă­ratului Împăratului
întâmplatu întâmplat
lățiia lăția
îngrădiia îngrădia
podu pod
iertatu iertat
slujitoriŭ slujitoriu
românéște românește
Mușatu Mușat
vi­tejește vitejește
cându când
véste veste
răsipéște răsipește
Conețpolschii Conețpolschi
inicérii iniceri
Capadochiia Capadochia
Azanii Azani
șvedzii șvezi
înțelége înțelege
Cernăuții Cernăuți
plătescu plătesc
lipiia lipia
de­scrierea descrierea
odnodvorții odnodvorți
Mol­dovenilor Moldovenilor
dinșii dinși
închi­nat închinat
lovindŭ lovind
Împăra­tului Împăratului
pe­zevenchiului pezevenchiului
curățescu curățesc
triimitea trimitea
jalnicu jalnic
împărățitu împărățit
bătrânéțe bătrânețe
însăr­cinat însărcinat
vediia vedia
bulucitu bulucit
căIă­rașilor căIărașilor
arsu ars
vru vr
plătéște plătește
amân­doror amândoror
românescŭ românesc
Trestiiană Trestiană
neavându neavând
înțe­legere înțelegere
neîmpăcându neîmpăcând
frigŭ frig
cerescu ceresc
Imira­horul Imirahorul
purtatu purtat
cu­tare cutare
pu­indu puind
sirétem siretem
Mol­dovei Moldovei
Agalerii Agaleri
beséreca besereca
Beiliccii Beilicci
scri­soare scrisoare
Moscu Mosc
prețu preț
Pierieslavu Pierieslav
sțitii sțiti
obiș­nuite obișnuite
îngă­duit îngăduit
sufletu suflet
Ciiarcă Ciarcă
Căpriiana Căpriana
așizatu așizat
Suntu Sunt
cârmuiéște cârmuiește
Moldii Moldi
ponoslu ponosl
trăitŭ trăit
avutŭ avut
Pilateștii Pilatești
lefeciilor lefecilor
pâ­rându pârând
adevă­rată adevărată
scrisŭ scris
stătătoriŭ stătătoriu
Cămă­rașul Cămărașul
facu fac
ca­sele casele
încunjurândŭ încunjurând
rumănii rumăni
tătărăscu tătărăsc
hălăduitŭ hălăduit
în­voiala învoiala
Petriceicu Petriceic
târgu târg
descă­lecarea descălecarea
botezatu botezat
terțiiani terțiani
Apos­tolilor Apostolilor
Sfidriial Sfidrial
Îm­păratului Împăratului
dân­du dând
înfricoșindu înfricoșind
Turculețeștii Turculețești
streinilorŭ streinilor
Mira­lem Miralem
împărțiia împărția
Schiudér Schiuder
ine­lele inelele
Valahiia Valahia
aflŭ afl
Topéltin Topeltin
obiș­nuia obișnuia
cumu cum
Cartalu Cartal
Ganeștii Ganești
mer­gându mergând
nepriietenul neprietenul
Rusiia Rusia
ospățu ospăț
tine­rilor tinerilor
pră­dat prădat
homélnicu homelnic
rătăciia rătăcia
muntèni munteni
domnescu domnesc
Acéste Aceste
țărmu țărm
Lolonii Loloni
Acésta Acesta
so­sește sosește
bise­ricești bisericești
mă­rit mărit
arătatŭ arătat
Șahmetu Șahmet
pieritu pierit
cetitŭ cetit
Capigi­bașii Capigibași
Sarmațiia Sarmația
Pompeiŭ Pompeiu
prințipii prințipi
prafu praf
apucu apuc
Giosu Gios
Décia Decia
curățin­du curățind
foloséște folosește
sacuii sacui
Logo­făt Logofăt
aducândŭ aducând
Décii Deci
létopisățul letopisățul
Isaceștii Isacești
Buțurenii Buțureni
piiéle piele
scorniia scornia
feméia femeia
Sturzeștii Sturzești
carățașii carățași
îndăstulatŭ îndăstulat
negu­țătorii neguțători
aș­teaptă așteaptă
ru­șine rușine
mulțămitu mulțămit
diva­nul divanul
ec­tenie ectenie
prepusése prepusese
vecerniia vecernia
Iustiniian Iustinian
semețiia semeția
meș­teșug meșteșug
ne­voesc nevoesc
Idiccii Idicci
Prédosloviia Predoslovia
îmbărbătéze îmbărbăteze
repedzi repezi
sfiinte sfinte
direptŭ dirept
Roma­nești Romanești
așe­zându așezând
năbușitŭ năbușit
Râmnicu Râmnic
olteanŭ oltean
aceiia aceia
suntu sunt
Datu Dat
olașŭ olaș
lefecii lefeci
piielea pielea
ro­ditoare roditoare
Războienii Războieni
în­doială îndoială
vechiŭ vechiu
prisăcăriia prisăcăria
hălăduitu hălăduit
dom­nilor domnilor
domnindu domnind
biruitu biruit
împrumutândŭ împrumutând
vâ­nătorii vânători
ni­minea niminea
îndrăznitu îndrăznit
celélalte celelalte
cur­ții curți
as­culte asculte
răscumpăratu răscumpărat
în­tărire întărire
dra­goste dragoste
spă­tărie spătărie
izvodescŭ izvodesc
păcatŭ păcat
fericatu fericat
strânsése strânsese
céstelalte cestelalte
tătaru tătar
frigu frig
aléseră aleseră
poftitu poftit
pomenescŭ pomenesc
învățatu învățat
mergândŭ mergând
fiiu fiu
Costineștii Costinești
blagos­lovenie blagoslovenie
Țari­gradești Țarigradești
Brusiia Brusia
védere vedere
ci­neva cineva
cu­noașteți cunoașteți
blagos­lovenia blagoslovenia
tru­pul trupul
Cazaculu Cazacul
leșescu leșesc
Iliriia Iliria
Carabașeștii Carabașești
muncitu muncit
Strigoniia Strigonia
Hișpaniia Hișpania
judecatu judecat
troadénilor troadenilor
pieritŭ pierit
lățitu lățit
olatŭ olat
cin­stita cinstita
Jicmontu Jicmont
Țifeștii Țifești
căzăcescu căzăcesc
izbândiia izbândia
tocméle tocmele
Carpeștii Carpești
ne­guțători neguțători
sârbăscu sârbăsc
acéște acește
crédință credință
județu județ
întrŭ într
copaciŭ copaciu
facŭ fac
Șoldăneștii Șoldănești
zmintélile zmintelile
mă­tasă mătasă
avăndu avănd
zécea zecea
italiienii italienii
Răspunzŭ Răspunz
drep­tate dreptate
Avgustu Avgust
Bouleștii Boulești
Mărgândŭ Mărgând
făliia fălia
fălindu fălind
Cantemireștii Cantemirești
boie­riei boieriei
stropșitu stropșit
so­borul soborul
pândzăle pânzăle
lăpușnénii lăpușneni
Ahmetu Ahmet
bărbatu bărbat
cérce cerce
stă­pânul stăpânul
os­tașilor ostașilor
sârbăscŭ sârbăsc
léșilor leșilor
spuindu spuind
sa­bia sabia
vă­zându văzând
bu­cățică bucățică
Mihuleștii Mihulești
Epis­copii Episcopi
hara­ciul haraciul
biseri­cească bisericească
orbŭ orb
bise­ricii biserici
disvino­vățiri disvinovățiri
lăcomiia lăcomia
Ita­lienești Italienești
sfatu sfat
Buceațschii Buceațschi
poruncitu poruncit
niiam niam
ur­meze urmeze
Ar­meni Armeni
așè așe
împărățiie împărăție
Pomoranu Pomoran
Bulugbașii Bulugbași
împărățiia împărăția
feriia feria
stă­pânitorii stăpânitori
Vor­nicii Vornici
stândŭ stând
înnecatu înnecat
poreclescu poreclesc
ierbăriia ierbăria
italiianului italianului
răpedzit răpezit
Crasneșu Crasneș
trecândŭ trecând
vi­tejia vitejia
oșténi oșteni
pen­trucă pentrucă
neștiindu neștind
habeșii habeși
hronografiile hronografile
nohaii nohai
crești­nești creștinești
trăgândŭ trăgând
trăiéște trăiește
dichemvrii dichemvri
pristăvitu pristăvit
gându gând
Totoeștii Totoești
nu­mai numai
gândiiai gândiai
gătitŭ gătit
nea­mului neamului
mersŭ mers
stăpâni­torii stăpânitori
direptu dirept
mân­driea mândriea
atuncè atunce
omu om
jude­cata judecata
Acéstea Acestea
credin­cioase credincioase
alcă­tuită alcătuită
moștiile moștile
Lungu Lung
Davidovschii Davidovschi
șop­titurile șoptiturile
acélea acelea
întorcu întorc
atingu ating
vécinice vecinice
tăiatu tăiat
bo­găție bogăție
vécinica vecinica
dobândescŭ dobândesc
canoa­nele canoanele
cre­dincios credincios
lipitu lipit
séte sete
chel­tuelile cheltuelile
Bâcu Bâc
părésemi păresemi
Borusiia Borusia
luatu luat
împărechiierea împărechierea
Tomșii Tomși
